Reward,Episode
0.0,0
0.0,1
-2.0,2
-2.0,3
-2.0,4
2.0,5
0.0,6
0.0,7
-2.0,8
0.0,9
0.0,10
-2.0,11
-4.0,12
0.0,13
0.0,14
6.0,15
2.0,16
-2.0,17
0.0,18
-4.0,19
2.0,20
0.0,21
0.0,22
-4.0,23
0.0,24
0.0,25
0.0,26
4.0,27
0.0,28
0.0,29
6.0,30
0.0,31
2.0,32
2.0,33
0.0,34
-2.0,35
0.0,36
-2.0,37
-2.0,38
8.0,39
-2.0,40
0.0,41
2.0,42
8.0,43
-2.0,44
0.0,45
-2.0,46
4.0,47
2.0,48
0.0,49
0.0,50
0.0,51
-2.0,52
2.0,53
-6.0,54
4.0,55
4.0,56
-2.0,57
0.0,58
0.0,59
0.0,60
0.0,61
-2.0,62
4.0,63
4.0,64
0.0,65
2.0,66
-2.0,67
0.0,68
2.0,69
0.0,70
2.0,71
0.0,72
0.0,73
0.0,74
0.0,75
2.0,76
2.0,77
2.0,78
0.0,79
0.0,80
-4.0,81
2.0,82
0.0,83
2.0,84
6.0,85
2.0,86
2.0,87
2.0,88
2.0,89
2.0,90
2.0,91
4.0,92
2.0,93
6.0,94
10.0,95
8.0,96
0.0,97
6.0,98
0.0,99
2.0,100
8.0,101
-2.0,102
2.0,103
2.0,104
4.0,105
2.0,106
10.0,107
8.0,108
4.0,109
2.0,110
-2.0,111
4.0,112
10.0,113
6.0,114
4.0,115
4.0,116
6.0,117
8.0,118
2.0,119
12.0,120
4.0,121
6.0,122
10.0,123
0.0,124
2.0,125
14.0,126
2.0,127
4.0,128
2.0,129
0.0,130
6.0,131
10.0,132
2.0,133
0.0,134
0.0,135
0.0,136
2.0,137
2.0,138
2.0,139
2.0,140
8.0,141
-2.0,142
12.0,143
12.0,144
10.0,145
6.0,146
2.0,147
10.0,148
12.0,149
10.0,150
4.0,151
4.0,152
10.0,153
18.0,154
6.0,155
4.0,156
14.0,157
8.0,158
2.0,159
4.0,160
10.0,161
4.0,162
12.0,163
16.0,164
6.0,165
10.0,166
-2.0,167
2.0,168
4.0,169
8.0,170
6.0,171
8.0,172
4.0,173
12.0,174
6.0,175
4.0,176
6.0,177
8.0,178
4.0,179
8.0,180
6.0,181
14.0,182
6.0,183
10.0,184
16.0,185
10.0,186
8.0,187
10.0,188
20.0,189
8.0,190
18.0,191
10.0,192
6.0,193
6.0,194
18.0,195
8.0,196
0.0,197
14.0,198
10.0,199
0.0,200
10.0,201
8.0,202
4.0,203
8.0,204
14.0,205
10.0,206
10.0,207
10.0,208
2.0,209
12.0,210
16.0,211
10.0,212
14.0,213
16.0,214
10.0,215
12.0,216
28.0,217
20.0,218
8.0,219
12.0,220
22.0,221
8.0,222
12.0,223
4.0,224
0.0,225
10.0,226
4.0,227
14.0,228
8.0,229
2.0,230
16.0,231
12.0,232
24.0,233
6.0,234
12.0,235
10.0,236
6.0,237
10.0,238
10.0,239
8.0,240
6.0,241
20.0,242
10.0,243
18.0,244
20.0,245
18.0,246
8.0,247
14.0,248
12.0,249
8.0,250
6.0,251
14.0,252
16.0,253
6.0,254
12.0,255
16.0,256
24.0,257
16.0,258
20.0,259
16.0,260
6.0,261
12.0,262
16.0,263
12.0,264
12.0,265
24.0,266
16.0,267
14.0,268
16.0,269
16.0,270
14.0,271
16.0,272
14.0,273
4.0,274
12.0,275
22.0,276
14.0,277
8.0,278
12.0,279
4.0,280
10.0,281
18.0,282
10.0,283
22.0,284
14.0,285
16.0,286
26.0,287
0.0,288
16.0,289
18.0,290
14.0,291
24.0,292
4.0,293
12.0,294
20.0,295
14.0,296
20.0,297
22.0,298
34.0,299
8.0,300
12.0,301
2.0,302
26.0,303
12.0,304
24.0,305
28.0,306
22.0,307
22.0,308
26.0,309
20.0,310
22.0,311
8.0,312
22.0,313
14.0,314
18.0,315
14.0,316
30.0,317
28.0,318
16.0,319
30.0,320
22.0,321
4.0,322
10.0,323
16.0,324
20.0,325
18.0,326
14.0,327
18.0,328
24.0,329
20.0,330
16.0,331
26.0,332
12.0,333
26.0,334
30.0,335
20.0,336
10.0,337
4.0,338
22.0,339
12.0,340
20.0,341
16.0,342
20.0,343
32.0,344
16.0,345
22.0,346
22.0,347
8.0,348
20.0,349
38.0,350
20.0,351
16.0,352
12.0,353
20.0,354
18.0,355
36.0,356
10.0,357
22.0,358
16.0,359
24.0,360
28.0,361
18.0,362
18.0,363
16.0,364
26.0,365
30.0,366
30.0,367
24.0,368
10.0,369
12.0,370
14.0,371
24.0,372
22.0,373
20.0,374
26.0,375
18.0,376
26.0,377
16.0,378
12.0,379
22.0,380
8.0,381
14.0,382
14.0,383
32.0,384
22.0,385
20.0,386
14.0,387
20.0,388
4.0,389
12.0,390
28.0,391
28.0,392
22.0,393
26.0,394
20.0,395
22.0,396
16.0,397
24.0,398
32.0,399
34.0,400
32.0,401
16.0,402
22.0,403
28.0,404
32.0,405
28.0,406
24.0,407
24.0,408
18.0,409
14.0,410
32.0,411
20.0,412
14.0,413
22.0,414
30.0,415
16.0,416
32.0,417
30.0,418
26.0,419
30.0,420
20.0,421
30.0,422
20.0,423
14.0,424
24.0,425
38.0,426
8.0,427
34.0,428
36.0,429
20.0,430
24.0,431
34.0,432
26.0,433
18.0,434
20.0,435
30.0,436
32.0,437
32.0,438
36.0,439
28.0,440
36.0,441
32.0,442
16.0,443
20.0,444
36.0,445
18.0,446
26.0,447
22.0,448
28.0,449
28.0,450
28.0,451
26.0,452
38.0,453
32.0,454
24.0,455
30.0,456
18.0,457
20.0,458
26.0,459
22.0,460
32.0,461
16.0,462
30.0,463
26.0,464
32.0,465
30.0,466
26.0,467
28.0,468
18.0,469
28.0,470
24.0,471
26.0,472
38.0,473
26.0,474
26.0,475
22.0,476
36.0,477
26.0,478
30.0,479
16.0,480
12.0,481
24.0,482
22.0,483
34.0,484
24.0,485
36.0,486
22.0,487
22.0,488
20.0,489
24.0,490
32.0,491
14.0,492
20.0,493
22.0,494
36.0,495
30.0,496
24.0,497
28.0,498
24.0,499
24.0,500
28.0,501
26.0,502
26.0,503
30.0,504
30.0,505
16.0,506
32.0,507
28.0,508
26.0,509
28.0,510
14.0,511
18.0,512
32.0,513
26.0,514
24.0,515
8.0,516
16.0,517
30.0,518
26.0,519
18.0,520
34.0,521
26.0,522
22.0,523
28.0,524
32.0,525
16.0,526
20.0,527
32.0,528
34.0,529
18.0,530
18.0,531
26.0,532
30.0,533
28.0,534
24.0,535
36.0,536
20.0,537
24.0,538
28.0,539
22.0,540
36.0,541
24.0,542
36.0,543
30.0,544
14.0,545
30.0,546
30.0,547
24.0,548
34.0,549
38.0,550
22.0,551
32.0,552
32.0,553
30.0,554
22.0,555
34.0,556
28.0,557
28.0,558
30.0,559
18.0,560
16.0,561
28.0,562
40.0,563
32.0,564
24.0,565
24.0,566
26.0,567
30.0,568
28.0,569
42.0,570
22.0,571
32.0,572
28.0,573
28.0,574
24.0,575
14.0,576
30.0,577
24.0,578
30.0,579
32.0,580
22.0,581
38.0,582
24.0,583
20.0,584
24.0,585
26.0,586
40.0,587
30.0,588
32.0,589
32.0,590
40.0,591
34.0,592
22.0,593
36.0,594
28.0,595
30.0,596
30.0,597
18.0,598
26.0,599
22.0,600
24.0,601
30.0,602
46.0,603
32.0,604
32.0,605
32.0,606
30.0,607
36.0,608
22.0,609
32.0,610
24.0,611
36.0,612
28.0,613
18.0,614
38.0,615
26.0,616
28.0,617
26.0,618
22.0,619
32.0,620
36.0,621
34.0,622
32.0,623
34.0,624
36.0,625
34.0,626
24.0,627
34.0,628
30.0,629
34.0,630
28.0,631
30.0,632
28.0,633
42.0,634
20.0,635
38.0,636
38.0,637
22.0,638
36.0,639
22.0,640
18.0,641
26.0,642
16.0,643
42.0,644
36.0,645
30.0,646
20.0,647
24.0,648
30.0,649
42.0,650
24.0,651
24.0,652
32.0,653
30.0,654
20.0,655
26.0,656
30.0,657
26.0,658
24.0,659
40.0,660
24.0,661
36.0,662
24.0,663
12.0,664
26.0,665
30.0,666
28.0,667
34.0,668
26.0,669
28.0,670
34.0,671
34.0,672
28.0,673
18.0,674
32.0,675
26.0,676
22.0,677
34.0,678
20.0,679
20.0,680
38.0,681
28.0,682
24.0,683
32.0,684
24.0,685
34.0,686
42.0,687
28.0,688
22.0,689
28.0,690
32.0,691
20.0,692
32.0,693
12.0,694
14.0,695
32.0,696
42.0,697
20.0,698
24.0,699
42.0,700
24.0,701
20.0,702
28.0,703
36.0,704
30.0,705
32.0,706
32.0,707
42.0,708
26.0,709
40.0,710
22.0,711
26.0,712
34.0,713
32.0,714
34.0,715
36.0,716
20.0,717
30.0,718
34.0,719
30.0,720
32.0,721
32.0,722
22.0,723
22.0,724
12.0,725
20.0,726
40.0,727
18.0,728
26.0,729
18.0,730
32.0,731
28.0,732
24.0,733
30.0,734
30.0,735
28.0,736
18.0,737
36.0,738
32.0,739
38.0,740
26.0,741
28.0,742
20.0,743
34.0,744
46.0,745
34.0,746
26.0,747
26.0,748
34.0,749
18.0,750
30.0,751
32.0,752
36.0,753
36.0,754
18.0,755
16.0,756
30.0,757
26.0,758
22.0,759
40.0,760
36.0,761
16.0,762
36.0,763
28.0,764
26.0,765
32.0,766
38.0,767
36.0,768
28.0,769
32.0,770
30.0,771
22.0,772
32.0,773
24.0,774
32.0,775
30.0,776
20.0,777
32.0,778
34.0,779
16.0,780
32.0,781
36.0,782
28.0,783
10.0,784
24.0,785
34.0,786
30.0,787
30.0,788
40.0,789
28.0,790
30.0,791
28.0,792
34.0,793
24.0,794
28.0,795
28.0,796
34.0,797
42.0,798
14.0,799
40.0,800
26.0,801
36.0,802
26.0,803
40.0,804
34.0,805
22.0,806
26.0,807
22.0,808
26.0,809
20.0,810
38.0,811
34.0,812
26.0,813
32.0,814
36.0,815
32.0,816
26.0,817
38.0,818
36.0,819
22.0,820
32.0,821
32.0,822
32.0,823
30.0,824
24.0,825
32.0,826
44.0,827
26.0,828
22.0,829
30.0,830
28.0,831
34.0,832
22.0,833
22.0,834
32.0,835
24.0,836
24.0,837
38.0,838
40.0,839
24.0,840
24.0,841
36.0,842
10.0,843
34.0,844
26.0,845
28.0,846
32.0,847
34.0,848
24.0,849
38.0,850
32.0,851
32.0,852
40.0,853
30.0,854
38.0,855
34.0,856
40.0,857
30.0,858
36.0,859
