Reward,Episode
-2.0,0
-2.0,1
-2.0,2
-2.0,3
2.0,4
-2.0,5
-2.0,6
6.0,7
-4.0,8
2.0,9
2.0,10
-2.0,11
0.0,12
0.0,13
4.0,14
2.0,15
4.0,16
2.0,17
-2.0,18
0.0,19
0.0,20
4.0,21
0.0,22
2.0,23
-4.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
2.0,30
0.0,31
2.0,32
2.0,33
-4.0,34
-2.0,35
0.0,36
0.0,37
4.0,38
4.0,39
2.0,40
2.0,41
-2.0,42
2.0,43
0.0,44
2.0,45
0.0,46
6.0,47
0.0,48
0.0,49
0.0,50
0.0,51
4.0,52
-2.0,53
-2.0,54
2.0,55
6.0,56
2.0,57
2.0,58
2.0,59
2.0,60
6.0,61
-4.0,62
-4.0,63
-2.0,64
2.0,65
2.0,66
2.0,67
6.0,68
2.0,69
0.0,70
12.0,71
6.0,72
-2.0,73
2.0,74
-2.0,75
0.0,76
-2.0,77
-2.0,78
6.0,79
0.0,80
2.0,81
2.0,82
0.0,83
2.0,84
-6.0,85
2.0,86
4.0,87
4.0,88
4.0,89
-2.0,90
-4.0,91
6.0,92
0.0,93
10.0,94
6.0,95
0.0,96
4.0,97
4.0,98
4.0,99
4.0,100
4.0,101
2.0,102
4.0,103
-2.0,104
0.0,105
2.0,106
0.0,107
8.0,108
8.0,109
0.0,110
10.0,111
-4.0,112
0.0,113
12.0,114
6.0,115
6.0,116
8.0,117
2.0,118
12.0,119
8.0,120
14.0,121
8.0,122
4.0,123
6.0,124
10.0,125
10.0,126
0.0,127
2.0,128
2.0,129
4.0,130
-2.0,131
8.0,132
4.0,133
8.0,134
0.0,135
8.0,136
16.0,137
14.0,138
6.0,139
8.0,140
12.0,141
18.0,142
12.0,143
10.0,144
12.0,145
-2.0,146
12.0,147
12.0,148
14.0,149
6.0,150
4.0,151
16.0,152
12.0,153
16.0,154
6.0,155
6.0,156
16.0,157
8.0,158
4.0,159
12.0,160
14.0,161
12.0,162
8.0,163
18.0,164
0.0,165
18.0,166
14.0,167
12.0,168
-4.0,169
10.0,170
8.0,171
6.0,172
10.0,173
20.0,174
18.0,175
12.0,176
20.0,177
10.0,178
20.0,179
18.0,180
8.0,181
16.0,182
8.0,183
16.0,184
8.0,185
10.0,186
8.0,187
10.0,188
6.0,189
10.0,190
10.0,191
8.0,192
10.0,193
2.0,194
12.0,195
20.0,196
12.0,197
14.0,198
12.0,199
2.0,200
20.0,201
18.0,202
6.0,203
20.0,204
12.0,205
8.0,206
16.0,207
14.0,208
4.0,209
8.0,210
12.0,211
2.0,212
10.0,213
8.0,214
10.0,215
20.0,216
14.0,217
10.0,218
18.0,219
10.0,220
8.0,221
14.0,222
10.0,223
18.0,224
8.0,225
20.0,226
6.0,227
10.0,228
24.0,229
14.0,230
20.0,231
20.0,232
12.0,233
6.0,234
10.0,235
14.0,236
12.0,237
18.0,238
12.0,239
16.0,240
10.0,241
12.0,242
14.0,243
20.0,244
2.0,245
20.0,246
4.0,247
8.0,248
0.0,249
16.0,250
16.0,251
24.0,252
12.0,253
22.0,254
24.0,255
18.0,256
10.0,257
12.0,258
16.0,259
4.0,260
18.0,261
16.0,262
12.0,263
20.0,264
12.0,265
22.0,266
18.0,267
22.0,268
12.0,269
20.0,270
24.0,271
14.0,272
22.0,273
4.0,274
10.0,275
10.0,276
14.0,277
14.0,278
20.0,279
6.0,280
22.0,281
16.0,282
12.0,283
18.0,284
28.0,285
14.0,286
20.0,287
24.0,288
14.0,289
20.0,290
18.0,291
16.0,292
26.0,293
18.0,294
6.0,295
24.0,296
18.0,297
10.0,298
10.0,299
24.0,300
30.0,301
16.0,302
18.0,303
22.0,304
8.0,305
14.0,306
20.0,307
22.0,308
24.0,309
30.0,310
20.0,311
26.0,312
14.0,313
14.0,314
18.0,315
8.0,316
10.0,317
14.0,318
20.0,319
14.0,320
8.0,321
24.0,322
20.0,323
28.0,324
14.0,325
22.0,326
30.0,327
26.0,328
24.0,329
20.0,330
